"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_AI_TTM_PERC1","per estrarre conoscenza e informazione da un documento di testo","C","attività manifatturiere","W10_49","10-49","2021","2021",29.42,,
"IT","Italia","E_AI_TTM_PERC1","per estrarre conoscenza e informazione da un documento di testo","C","attività manifatturiere","W10_49","10-49","2023","2023",31.91,,
"IT","Italia","E_AI_TSR_PERC1","per convertire la lingua parlata in un formato leggibile dal dispositivo informatico","C","attività manifatturiere","W10_49","10-49","2021","2021",35.97,,
"IT","Italia","E_AI_TSR_PERC1","per convertire la lingua parlata in un formato leggibile dal dispositivo informatico","C","attività manifatturiere","W10_49","10-49","2023","2023",21.37,,
"IT","Italia","E_AI_TNLG_PERC1","per generare linguaggio scritto o parlato","C","attività manifatturiere","W10_49","10-49","2021","2021",25.31,,
"IT","Italia","E_AI_TNLG_PERC1","per generare linguaggio scritto o parlato","C","attività manifatturiere","W10_49","10-49","2023","2023",18.63,,
"IT","Italia","E_AI_TIR_PERC1","per identificare oggetti o persone sulla base di immagini ","C","attività manifatturiere","W10_49","10-49","2021","2021",22.41,,
"IT","Italia","E_AI_TIR_PERC1","per identificare oggetti o persone sulla base di immagini ","C","attività manifatturiere","W10_49","10-49","2023","2023",33.71,,
"IT","Italia","E_AI_TML_PERC1","per l'analisi dei dati attraverso l’apprendimento automatico ( es. deep learning)","C","attività manifatturiere","W10_49","10-49","2021","2021",12.15,,
"IT","Italia","E_AI_TML_PERC1","per l'analisi dei dati attraverso l’apprendimento automatico ( es. deep learning)","C","attività manifatturiere","W10_49","10-49","2023","2023",23.06,,
"IT","Italia","E_AI_TPA_PERC1","per automatizzare i flussi di lavoro o supportare nel processo decisionale ","C","attività manifatturiere","W10_49","10-49","2021","2021",36.89,,
"IT","Italia","E_AI_TPA_PERC1","per automatizzare i flussi di lavoro o supportare nel processo decisionale ","C","attività manifatturiere","W10_49","10-49","2023","2023",54.91,,
"IT","Italia","E_AI_TAR_PERC1","per consentire il movimento fisico autonomo delle macchine","C","attività manifatturiere","W10_49","10-49","2021","2021",9.78,,
"IT","Italia","E_AI_TAR_PERC1","per consentire il movimento fisico autonomo delle macchine","C","attività manifatturiere","W10_49","10-49","2023","2023",19.25,,
"IT","Italia","E_AI_TANY_PERC","imprese che usano almeno una delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2021","2021",5.63,,
"IT","Italia","E_AI_TANY_PERC","imprese che usano almeno una delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",3.98,,
"IT","Italia","E_AI_TGE2_PERC","imprese che usano almeno due delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2021","2021",2.32,,
"IT","Italia","E_AI_TGE2_PERC","imprese che usano almeno due delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",2.35,,
"IT","Italia","E_AI_TGE3_PERC","imprese che usano almeno tre delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2021","2021",1.03,,
"IT","Italia","E_AI_TGE3_PERC","imprese che usano almeno tre delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",0.96,,
"IT","Italia","E_AI_PMS_PERC1","marketing o vendite","C","attività manifatturiere","W10_49","10-49","2021","2021",22.25,,
"IT","Italia","E_AI_PMS_PERC1","marketing o vendite","C","attività manifatturiere","W10_49","10-49","2023","2023",20.27,,
"IT","Italia","E_AI_PPP_PERC1","processo produttivo","C","attività manifatturiere","W10_49","10-49","2021","2021",49.74,,
"IT","Italia","E_AI_PPP_PERC1","processo produttivo","C","attività manifatturiere","W10_49","10-49","2023","2023",52.49,,
"IT","Italia","E_AI_PBA_PERC1","organizzazione di processi di amministrazione aziendale","C","attività manifatturiere","W10_49","10-49","2021","2021",6.38,,
"IT","Italia","E_AI_PME_PERC1","gestione di impresa","C","attività manifatturiere","W10_49","10-49","2021","2021",23.3,,
"IT","Italia","E_AI_PLOG_PERC1","logistica","C","attività manifatturiere","W10_49","10-49","2021","2021",8.88,,
"IT","Italia","E_AI_PLOG_PERC1","logistica","C","attività manifatturiere","W10_49","10-49","2023","2023",14.73,,
"IT","Italia","E_AI_PITS_PERC1","sicurezza ICT","C","attività manifatturiere","W10_49","10-49","2021","2021",12.05,,
"IT","Italia","E_AI_PITS_PERC1","sicurezza ICT","C","attività manifatturiere","W10_49","10-49","2023","2023",16.73,,
"IT","Italia","E_AI_PHR_PERC1","reclutamento e gestione del personale","C","attività manifatturiere","W10_49","10-49","2021","2021",2.77,,
"IT","Italia","E_AI_PANY_PERC1","per almeno un'area aziendale elencata (incidenza %)","C","attività manifatturiere","W10_49","10-49","2021","2021",72.19,,
"IT","Italia","E_AI_PANY_PERC1","per almeno un'area aziendale elencata (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",89.38,,
"IT","Italia","E_AI_PGE2_PERC1","per almeno due aree aziendali elencate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2021","2021",31.95,,
"IT","Italia","E_AI_PGE2_PERC1","per almeno due aree aziendali elencate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",30.88,,
"IT","Italia","E_AI_PGE3_PERC1","per almeno tre aree aziendali elencate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2021","2021",17.71,,
"IT","Italia","E_AI_PGE3_PERC1","per almeno tre aree aziendali elencate (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",14.56,,
"IT","Italia","E_AI_TTM_PERC1","per estrarre conoscenza e informazione da un documento di testo","C","attività manifatturiere","W_GE10","10 e più","2021","2021",29.7,,
"IT","Italia","E_AI_TTM_PERC1","per estrarre conoscenza e informazione da un documento di testo","C","attività manifatturiere","W_GE10","10 e più","2023","2023",30.47,,
"IT","Italia","E_AI_TSR_PERC1","per convertire la lingua parlata in un formato leggibile dal dispositivo informatico","C","attività manifatturiere","W_GE10","10 e più","2021","2021",30.92,,
"IT","Italia","E_AI_TSR_PERC1","per convertire la lingua parlata in un formato leggibile dal dispositivo informatico","C","attività manifatturiere","W_GE10","10 e più","2023","2023",19.66,,
"IT","Italia","E_AI_TNLG_PERC1","per generare linguaggio scritto o parlato","C","attività manifatturiere","W_GE10","10 e più","2021","2021",20.64,,
"IT","Italia","E_AI_TNLG_PERC1","per generare linguaggio scritto o parlato","C","attività manifatturiere","W_GE10","10 e più","2023","2023",18.14,,
"IT","Italia","E_AI_TIR_PERC1","per identificare oggetti o persone sulla base di immagini ","C","attività manifatturiere","W_GE10","10 e più","2021","2021",24.97,,
"IT","Italia","E_AI_TIR_PERC1","per identificare oggetti o persone sulla base di immagini ","C","attività manifatturiere","W_GE10","10 e più","2023","2023",30.17,,
"IT","Italia","E_AI_TML_PERC1","per l'analisi dei dati attraverso l’apprendimento automatico ( es. deep learning)","C","attività manifatturiere","W_GE10","10 e più","2021","2021",17.72,,
"IT","Italia","E_AI_TML_PERC1","per l'analisi dei dati attraverso l’apprendimento automatico ( es. deep learning)","C","attività manifatturiere","W_GE10","10 e più","2023","2023",25.98,,
"IT","Italia","E_AI_TPA_PERC1","per automatizzare i flussi di lavoro o supportare nel processo decisionale ","C","attività manifatturiere","W_GE10","10 e più","2021","2021",39.01,,
"IT","Italia","E_AI_TPA_PERC1","per automatizzare i flussi di lavoro o supportare nel processo decisionale ","C","attività manifatturiere","W_GE10","10 e più","2023","2023",52.36,,
"IT","Italia","E_AI_TAR_PERC1","per consentire il movimento fisico autonomo delle macchine","C","attività manifatturiere","W_GE10","10 e più","2021","2021",14.51,,
"IT","Italia","E_AI_TAR_PERC1","per consentire il movimento fisico autonomo delle macchine","C","attività manifatturiere","W_GE10","10 e più","2023","2023",22.7,,
"IT","Italia","E_AI_TANY_PERC","imprese che usano almeno una delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2021","2021",6.63,,
"IT","Italia","E_AI_TANY_PERC","imprese che usano almeno una delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2023","2023",4.94,,
"IT","Italia","E_AI_TGE2_PERC","imprese che usano almeno due delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2021","2021",2.86,,
"IT","Italia","E_AI_TGE2_PERC","imprese che usano almeno due delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2023","2023",2.69,,
"IT","Italia","E_AI_TGE3_PERC","imprese che usano almeno tre delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2021","2021",1.34,,
"IT","Italia","E_AI_TGE3_PERC","imprese che usano almeno tre delle tecnologie di IA considerate (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2023","2023",1.15,,
"IT","Italia","E_AI_PMS_PERC1","marketing o vendite","C","attività manifatturiere","W_GE10","10 e più","2021","2021",19.16,,
"IT","Italia","E_AI_PMS_PERC1","marketing o vendite","C","attività manifatturiere","W_GE10","10 e più","2023","2023",18.76,,
"IT","Italia","E_AI_PPP_PERC1","processo produttivo","C","attività manifatturiere","W_GE10","10 e più","2021","2021",50.83,,
"IT","Italia","E_AI_PPP_PERC1","processo produttivo","C","attività manifatturiere","W_GE10","10 e più","2023","2023",52.49,,
"IT","Italia","E_AI_PBA_PERC1","organizzazione di processi di amministrazione aziendale","C","attività manifatturiere","W_GE10","10 e più","2021","2021",7.72,,
"IT","Italia","E_AI_PME_PERC1","gestione di impresa","C","attività manifatturiere","W_GE10","10 e più","2021","2021",20.47,,
"IT","Italia","E_AI_PLOG_PERC1","logistica","C","attività manifatturiere","W_GE10","10 e più","2021","2021",11.38,,
"IT","Italia","E_AI_PLOG_PERC1","logistica","C","attività manifatturiere","W_GE10","10 e più","2023","2023",18.3,,
"IT","Italia","E_AI_PITS_PERC1","sicurezza ICT","C","attività manifatturiere","W_GE10","10 e più","2021","2021",18.88,,
"IT","Italia","E_AI_PITS_PERC1","sicurezza ICT","C","attività manifatturiere","W_GE10","10 e più","2023","2023",22.28,,
"IT","Italia","E_AI_PHR_PERC1","reclutamento e gestione del personale","C","attività manifatturiere","W_GE10","10 e più","2021","2021",4.04,,
"IT","Italia","E_AI_PANY_PERC1","per almeno un'area aziendale elencata (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2021","2021",74.97,,
"IT","Italia","E_AI_PANY_PERC1","per almeno un'area aziendale elencata (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2023","2023",91.55,,
"IT","Italia","E_AI_PGE2_PERC1","per almeno due aree aziendali elencate (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2021","2021",32.79,,
"IT","Italia","E_AI_PGE2_PERC1","per almeno due aree aziendali elencate (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2023","2023",33.77,,
