"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","C","attività manifatturiere","W10_49","10-49","2020","2020",4.61,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","C","attività manifatturiere","W10_49","10-49","2020","2020",1.44,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","C","attività manifatturiere","W10_49","10-49","2020","2020",3.98,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","C","attività manifatturiere","W10_49","10-49","2020","2020",25.35,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","C","attività manifatturiere","W10_49","10-49","2020","2020",21.13,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","C","attività manifatturiere","W10_49","10-49","2020","2020",45.1,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","C","attività manifatturiere","W10_49","10-49","2020","2020",32.06,,
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2020","2020",5.99,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2020","2020",1.8,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2020","2020",5.28,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2020","2020",23.06,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2020","2020",22.87,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2020","2020",53,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2020","2020",30.82,,
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","C","attività manifatturiere","W50_99","50-99","2020","2020",8.34,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","C","attività manifatturiere","W50_99","50-99","2020","2020",2.44,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","C","attività manifatturiere","W50_99","50-99","2020","2020",8.09,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","C","attività manifatturiere","W50_99","50-99","2020","2020",19.57,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","C","attività manifatturiere","W50_99","50-99","2020","2020",23.81,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","C","attività manifatturiere","W50_99","50-99","2020","2020",64.99,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","C","attività manifatturiere","W50_99","50-99","2020","2020",24.31,,
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","C","attività manifatturiere","W100_249","100-249","2020","2020",18.49,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","C","attività manifatturiere","W100_249","100-249","2020","2020",4.47,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","C","attività manifatturiere","W100_249","100-249","2020","2020",15.77,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","C","attività manifatturiere","W100_249","100-249","2020","2020",18.22,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","C","attività manifatturiere","W100_249","100-249","2020","2020",25.14,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","C","attività manifatturiere","W100_249","100-249","2020","2020",62.66,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","C","attività manifatturiere","W100_249","100-249","2020","2020",34.6,,
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2020","2020",28.64,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2020","2020",9.11,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2020","2020",27.01,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2020","2020",19.06,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2020","2020",30.2,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2020","2020",76.7,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2020","2020",25.87,,
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","F","costruzioni","W10_49","10-49","2020","2020",5.81,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","F","costruzioni","W10_49","10-49","2020","2020",1.42,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","F","costruzioni","W10_49","10-49","2020","2020",5.18,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","F","costruzioni","W10_49","10-49","2020","2020",71.57,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","F","costruzioni","W10_49","10-49","2020","2020",15.18,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","F","costruzioni","W10_49","10-49","2020","2020",21.51,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","F","costruzioni","W10_49","10-49","2020","2020",29.77,,
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","F","costruzioni","W_GE10","10 e più","2020","2020",6.18,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","F","costruzioni","W_GE10","10 e più","2020","2020",1.52,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","F","costruzioni","W_GE10","10 e più","2020","2020",5.49,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","F","costruzioni","W_GE10","10 e più","2020","2020",72.54,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","F","costruzioni","W_GE10","10 e più","2020","2020",16.61,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","F","costruzioni","W_GE10","10 e più","2020","2020",24,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","F","costruzioni","W_GE10","10 e più","2020","2020",27.68,,
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","F","costruzioni","W50_99","50-99","2020","2020",11.98,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","F","costruzioni","W50_99","50-99","2020","2020",3.59,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","F","costruzioni","W50_99","50-99","2020","2020",9.64,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","F","costruzioni","W50_99","50-99","2020","2020",84.58,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","F","costruzioni","W50_99","50-99","2020","2020",28.6,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","F","costruzioni","W50_99","50-99","2020","2020",41.7,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","F","costruzioni","W50_99","50-99","2020","2020",9.98,,
"IT","Italia","E_BDA_PERC","imprese che analizzano big data internamente o esternamente (incidenza %)","F","costruzioni","W100_249","100-249","2020","2020",8.87,,
"IT","Italia","E_BDAEXT_PERC","imprese che hanno un'altra organizzazione che analizza i dati  (incidenza %)","F","costruzioni","W100_249","100-249","2020","2020",1.36,,
"IT","Italia","E_BDAINT_PERC","imprese che analizzano big data internamente  (incidenza %)","F","costruzioni","W100_249","100-249","2020","2020",8.52,,
"IT","Italia","E_BDALOC_PERC1","imprese che analizzano big data di geo localizzazione derivanti dall’utilizzo di dispositivi portatili (incidenza %)","F","costruzioni","W100_249","100-249","2020","2020",62.31,,
"IT","Italia","E_BDAOS_PERC1","imprese che analizzano altre fonti di big data (incidenza %)","F","costruzioni","W100_249","100-249","2020","2020",30.43,,
"IT","Italia","E_BDASDS_PERC1","imprese che analizzano propri big data derivanti da dispositivi intelligenti o sensori (incidenza %)","F","costruzioni","W100_249","100-249","2020","2020",31.36,,
"IT","Italia","E_BDASM_PERC1","imprese che analizzano big data generati dai social media  (incidenza %)","F","costruzioni","W100_249","100-249","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
