"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W10_49","10-49","2020","2020",54.75,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W10_49","10-49","2021","2021",56.84,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W10_49","10-49","2023","2023",56.65,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W_GE10","10 e più","2020","2020",56.06,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W_GE10","10 e più","2021","2021",58.83,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W_GE10","10 e più","2023","2023",59.44,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W50_99","50-99","2020","2020",59.67,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W50_99","50-99","2021","2021",65.68,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W50_99","50-99","2023","2023",70.13,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W100_249","100-249","2020","2020",63.97,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W100_249","100-249","2021","2021",71.13,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W100_249","100-249","2023","2023",76.43,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W_GE250","250 e più","2020","2020",80.73,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W_GE250","250 e più","2021","2021",85.33,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","C","attività manifatturiere","W_GE250","250 e più","2023","2023",89.1,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","F","costruzioni","W10_49","10-49","2020","2020",55.54,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","F","costruzioni","W10_49","10-49","2021","2021",56.29,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","F","costruzioni","W10_49","10-49","2023","2023",59.2,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","F","costruzioni","W_GE10","10 e più","2020","2020",56.04,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","F","costruzioni","W_GE10","10 e più","2021","2021",57.19,,
"IT","Italia","E_CC_PEM_PERC","posta elettronica","F","costruzioni","W_GE10","10 e più","2023","2023",59.71,,
