"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W10_49","10-49","2019","2019",7.72,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W10_49","10-49","2020","2020",9.69,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W10_49","10-49","2021","2021",11.57,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W10_49","10-49","2022","2022",12.89,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W10_49","10-49","2023","2023",12.53,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W_GE10","10 e più","2019","2019",10.12,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W_GE10","10 e più","2020","2020",12.06,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W_GE10","10 e più","2021","2021",13.72,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W_GE10","10 e più","2022","2022",15.18,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W_GE10","10 e più","2023","2023",15.17,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W50_99","50-99","2019","2019",17.86,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W50_99","50-99","2020","2020",18.64,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W50_99","50-99","2021","2021",19.79,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W50_99","50-99","2022","2022",18.54,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W50_99","50-99","2023","2023",20.76,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W100_249","100-249","2019","2019",26.81,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W100_249","100-249","2020","2020",28.99,,
"IT","Italia","E_AESELL_PERC","vendita on-line via web e/o sistemi di tipo EDI","C","attività manifatturiere","W100_249","100-249","2021","2021",23.21,,
