"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W10_49","10-49","2019","2019",11.61,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W10_49","10-49","2020","2020",6.56,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W10_49","10-49","2022","2022",7.31,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2019","2019",17.84,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2020","2020",12.96,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2022","2022",14.02,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W50_99","50-99","2019","2019",39.16,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W50_99","50-99","2020","2020",34.26,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W50_99","50-99","2022","2022",34.05,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W100_249","100-249","2019","2019",70.56,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W100_249","100-249","2020","2020",63.84,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W100_249","100-249","2022","2022",61.86,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2019","2019",89.6,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2020","2020",89.66,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2022","2022",91.31,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W10_49","10-49","2019","2019",7.64,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W10_49","10-49","2020","2020",4.87,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W10_49","10-49","2022","2022",5.48,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W_GE10","10 e più","2019","2019",8.94,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W_GE10","10 e più","2020","2020",6.11,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W_GE10","10 e più","2022","2022",6.64,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W50_99","50-99","2019","2019",21.79,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W50_99","50-99","2020","2020",16.55,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W50_99","50-99","2022","2022",15.59,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W100_249","100-249","2019","2019",36.51,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W100_249","100-249","2020","2020",32.36,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W100_249","100-249","2022","2022",29.57,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W_GE250","250 e più","2019","2019",71.86,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W_GE250","250 e più","2020","2020",74.95,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","F","costruzioni","W_GE250","250 e più","2022","2022",68.26,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","W_GE10","10 e più","2019","2019",13.83,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","W_GE10","10 e più","2020","2020",12.7,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","W_GE10","10 e più","2022","2022",12.62,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CA","industrie alimentari, delle bevande e del tabacco","W_GE10","10 e più","2019","2019",12.33,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CA","industrie alimentari, delle bevande e del tabacco","W_GE10","10 e più","2020","2020",11.18,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CA","industrie alimentari, delle bevande e del tabacco","W_GE10","10 e più","2022","2022",7.81,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2019","2019",8.36,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2020","2020",5.28,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2022","2022",5.54,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2019","2019",18.11,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2020","2020",9.45,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2022","2022",9.83,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2019","2019",12.66,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2020","2020",9.77,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2022","2022",10.6,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2019","2019",28.71,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2020","2020",24,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2022","2022",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CM","altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","W_GE10","10 e più","2019","2019",20.63,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CM","altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","W_GE10","10 e più","2020","2020",10.67,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CM","altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","W_GE10","10 e più","2022","2022",10.03,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","JC","informatica ed altri servizi d'informazione","W_GE10","10 e più","2019","2019",75.69,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","JC","informatica ed altri servizi d'informazione","W_GE10","10 e più","2020","2020",73.09,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","JC","informatica ed altri servizi d'informazione","W_GE10","10 e più","2022","2022",65.18,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","26","computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi","W_GE10","10 e più","2019","2019",45.54,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","26","computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi","W_GE10","10 e più","2020","2020",45.5,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","26","computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi","W_GE10","10 e più","2022","2022",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","W_GE10","10 e più","2019","2019",9.02,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","W_GE10","10 e più","2020","2020",7.86,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","W_GE10","10 e più","2022","2022",8.81,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","53","servizi postali e attività di corriere","W_GE10","10 e più","2019","2019",11.85,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","53","servizi postali e attività di corriere","W_GE10","10 e più","2020","2020",28.96,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","53","servizi postali e attività di corriere","W_GE10","10 e più","2022","2022",30.04,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","55","alloggio","W_GE10","10 e più","2019","2019",9.84,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","55","alloggio","W_GE10","10 e più","2020","2020",6.18,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","55","alloggio","W_GE10","10 e più","2022","2022",5.18,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","56","attività dei servizi di ristorazione","W_GE10","10 e più","2019","2019",2.49,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","56","attività dei servizi di ristorazione","W_GE10","10 e più","2020","2020",0.39,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","56","attività dei servizi di ristorazione","W_GE10","10 e più","2022","2022",2.68,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","58","attività editoriali","W_GE10","10 e più","2019","2019",43.84,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","58","attività editoriali","W_GE10","10 e più","2020","2020",37.74,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","58","attività editoriali","W_GE10","10 e più","2022","2022",35.35,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","61","telecomunicazioni","W_GE10","10 e più","2019","2019",80.94,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","61","telecomunicazioni","W_GE10","10 e più","2020","2020",74.47,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","61","telecomunicazioni","W_GE10","10 e più","2022","2022",72.39,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","68","attività immobiliari","W_GE10","10 e più","2019","2019",14.29,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","68","attività immobiliari","W_GE10","10 e più","2020","2020",12.73,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","68","attività immobiliari","W_GE10","10 e più","2022","2022",18.24,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","79","attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse","W_GE10","10 e più","2019","2019",26.33,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","79","attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse","W_GE10","10 e più","2020","2020",19.66,,
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","79","attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse","W_GE10","10 e più","2022","2022",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","E_ITSP2_PERC","imprese che impiegano, tra i propri addetti, specialisti ICT  (incidenza %)","CD-CG","fabbricazione di coke e di prodotti derivanti dalla raffinazione del petrolio, di prodotti chimici,  di prodotti farmaceutici, di articoli in gomma e materie plastiche e di prodotti della lavorazione di minerali non metalliferi","W_GE10","10 e più","2019","2019",15.08,,
