"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",8.87,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2023","2023",11.99,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","C","attività manifatturiere","W50_99","50-99","2023","2023",19.29,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","C","attività manifatturiere","W100_249","100-249","2023","2023",32.37,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2023","2023",60.37,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","F","costruzioni","W10_49","10-49","2023","2023",10.09,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","F","costruzioni","W_GE10","10 e più","2023","2023",10.31,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","F","costruzioni","W50_99","50-99","2023","2023",9.31,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","F","costruzioni","W100_249","100-249","2023","2023",17.82,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","F","costruzioni","W_GE250","250 e più","2023","2023",36.77,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","W_GE10","10 e più","2023","2023",23.06,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","CA","industrie alimentari, delle bevande e del tabacco","W_GE10","10 e più","2023","2023",15.52,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2023","2023",6.87,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2023","2023",8.66,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2023","2023",13.02,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2023","2023",19.7,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","CM","altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","W_GE10","10 e più","2023","2023",13.8,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","JC","informatica ed altri servizi d'informazione","W_GE10","10 e più","2023","2023",16.92,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","26","computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi","W_GE10","10 e più","2023","2023",10.79,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","W_GE10","10 e più","2023","2023",28.16,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","53","servizi postali e attività di corriere","W_GE10","10 e più","2023","2023",17.52,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","55","alloggio","W_GE10","10 e più","2023","2023",13.8,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","56","attività dei servizi di ristorazione","W_GE10","10 e più","2023","2023",3.63,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","58","attività editoriali","W_GE10","10 e più","2023","2023",26.34,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","61","telecomunicazioni","W_GE10","10 e più","2023","2023",21.61,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","68","attività immobiliari","W_GE10","10 e più","2023","2023",8.23,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","79","attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse","W_GE10","10 e più","2023","2023",21.53,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","CD-CG","fabbricazione di coke e di prodotti derivanti dalla raffinazione del petrolio, di prodotti chimici,  di prodotti farmaceutici, di articoli in gomma e materie plastiche e di prodotti della lavorazione di minerali non metalliferi","W_GE10","10 e più","2023","2023",10.16,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","CJ-CK","fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche e di macchinari ed apparecchiature nca","W_GE10","10 e più","2023","2023",12.96,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","JA_X_58","attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore","W_GE10","10 e più","2023","2023",7.32,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","0032","noleggio, agenzie di viaggio, servizi di supporto alle imprese escluso attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse (N escluso 79)","W_GE10","10 e più","2023","2023",12.48,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","0033","settore ict ","W_GE10","10 e più","2023","2023",16.22,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W10_49","10-49","2023","2023",13.32,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W_GE10","10 e più","2023","2023",16.48,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W50_99","50-99","2023","2023",18.66,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W100_249","100-249","2023","2023",24.67,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W_GE250","250 e più","2023","2023",41.33,,
"IT","Italia","E_SISC_PERC","imprese che condividono in rete con fornitori e clienti  dati sulla gestione della catena distributiva  (SCM) (incidenza %)","0049","trasporto e magazzinaggio, esclusi servizi postali e corrieri (h escluso 53)","W_GE10","10 e più","2023","2023",17.9,,
"IT","Italia","E_ERP1_PERC","imprese con sistemi ERP per condividere informazioni tra differenti aree funzionali (incidenza %)","C","attività manifatturiere","W10_49","10-49","2019","2019",39.45,,
"IT","Italia","E_ERP1_PERC","imprese con sistemi ERP per condividere informazioni tra differenti aree funzionali (incidenza %)","C","attività manifatturiere","W10_49","10-49","2021","2021",36.21,,
"IT","Italia","E_ERP1_PERC","imprese con sistemi ERP per condividere informazioni tra differenti aree funzionali (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",49.28,,
"IT","Italia","E_ERP1_PERC","imprese con sistemi ERP per condividere informazioni tra differenti aree funzionali (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2019","2019",44.85,,
"IT","Italia","E_ERP1_PERC","imprese con sistemi ERP per condividere informazioni tra differenti aree funzionali (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2021","2021",42.51,,
