"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W10_49","10-49","2018","2018",6.97,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W10_49","10-49","2020","2020",7.98,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W10_49","10-49","2018","2018",16.03,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W10_49","10-49","2020","2020",16.75,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W10_49","10-49","2022","2022",15.2,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W10_49","10-49","2018","2018",13.07,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W10_49","10-49","2020","2020",13.9,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W10_49","10-49","2022","2022",12.38,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W10_49","10-49","2018","2018",4.1,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W10_49","10-49","2020","2020",4.23,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W10_49","10-49","2022","2022",5.63,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W_GE10","10 e più","2018","2018",9.12,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W_GE10","10 e più","2020","2020",9.91,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W_GE10","10 e più","2018","2018",19.25,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W_GE10","10 e più","2020","2020",20.55,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W_GE10","10 e più","2022","2022",19.08,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W_GE10","10 e più","2018","2018",15.7,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W_GE10","10 e più","2020","2020",17.41,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W_GE10","10 e più","2022","2022",15.83,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W_GE10","10 e più","2018","2018",5.78,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W_GE10","10 e più","2020","2020",5.57,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W_GE10","10 e più","2022","2022",7.35,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W50_99","50-99","2018","2018",18.66,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W50_99","50-99","2020","2020",16.31,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W50_99","50-99","2018","2018",30.31,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W50_99","50-99","2020","2020",36.25,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W50_99","50-99","2022","2022",32.92,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W50_99","50-99","2018","2018",25.84,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W50_99","50-99","2020","2020",33.49,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W50_99","50-99","2022","2022",28.62,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W50_99","50-99","2018","2018",8.8,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W50_99","50-99","2020","2020",7.08,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W50_99","50-99","2022","2022",12.19,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W100_249","100-249","2018","2018",25.04,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W100_249","100-249","2020","2020",24.76,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W100_249","100-249","2018","2018",45.55,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W100_249","100-249","2020","2020",45.83,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W100_249","100-249","2022","2022",43.74,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W100_249","100-249","2018","2018",36.14,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W100_249","100-249","2020","2020",39.29,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W100_249","100-249","2022","2022",37.67,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W100_249","100-249","2018","2018",22.29,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W100_249","100-249","2020","2020",18.35,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W100_249","100-249","2022","2022",16.18,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W_GE250","250 e più","2018","2018",29.97,,
"IT","Italia","E_P3D_PERC","stampa 3D","C","attività manifatturiere","W_GE250","250 e più","2020","2020",34.24,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W_GE250","250 e più","2018","2018",59.58,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W_GE250","250 e più","2020","2020",64.25,,
"IT","Italia","E_RBT_PERC","robot","C","attività manifatturiere","W_GE250","250 e più","2022","2022",61.1,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W_GE250","250 e più","2018","2018",45.97,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W_GE250","250 e più","2020","2020",54.1,,
"IT","Italia","E_RBTI_PERC","robot industriali","C","attività manifatturiere","W_GE250","250 e più","2022","2022",52.02,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W_GE250","250 e più","2018","2018",32.88,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W_GE250","250 e più","2020","2020",29.55,,
"IT","Italia","E_RBTS_PERC","robot di servizio","C","attività manifatturiere","W_GE250","250 e più","2022","2022",35.26,,
"IT","Italia","E_P3D_PERC","stampa 3D","F","costruzioni","W10_49","10-49","2018","2018",1.77,,
"IT","Italia","E_P3D_PERC","stampa 3D","F","costruzioni","W10_49","10-49","2020","2020",2.19,,
"IT","Italia","E_RBT_PERC","robot","F","costruzioni","W10_49","10-49","2018","2018",2.12,,
"IT","Italia","E_RBT_PERC","robot","F","costruzioni","W10_49","10-49","2020","2020",2.25,,
"IT","Italia","E_RBT_PERC","robot","F","costruzioni","W10_49","10-49","2022","2022",2.15,,
"IT","Italia","E_RBTI_PERC","robot industriali","F","costruzioni","W10_49","10-49","2018","2018",1.47,,
"IT","Italia","E_RBTI_PERC","robot industriali","F","costruzioni","W10_49","10-49","2020","2020",1.74,,
"IT","Italia","E_RBTI_PERC","robot industriali","F","costruzioni","W10_49","10-49","2022","2022",1.32,,
"IT","Italia","E_RBTS_PERC","robot di servizio","F","costruzioni","W10_49","10-49","2018","2018",0.79,,
"IT","Italia","E_RBTS_PERC","robot di servizio","F","costruzioni","W10_49","10-49","2020","2020",0.75,,
"IT","Italia","E_RBTS_PERC","robot di servizio","F","costruzioni","W10_49","10-49","2022","2022",1.18,,
"IT","Italia","E_P3D_PERC","stampa 3D","F","costruzioni","W_GE10","10 e più","2018","2018",1.89,,
