"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","C","attività manifatturiere","W10_49","10-49","2022","2022",23.93,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","C","attività manifatturiere","W_GE10","10 e più","2022","2022",28.33,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","C","attività manifatturiere","W50_99","50-99","2022","2022",42.6,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","C","attività manifatturiere","W100_249","100-249","2022","2022",59.24,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","C","attività manifatturiere","W_GE250","250 e più","2022","2022",75.68,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","F","costruzioni","W10_49","10-49","2022","2022",25.38,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","F","costruzioni","W_GE10","10 e più","2022","2022",26.62,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","F","costruzioni","W50_99","50-99","2022","2022",38.68,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","F","costruzioni","W100_249","100-249","2022","2022",51.85,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","F","costruzioni","W_GE250","250 e più","2022","2022",67.4,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","W_GE10","10 e più","2022","2022",28.29,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","CA","industrie alimentari, delle bevande e del tabacco","W_GE10","10 e più","2022","2022",34.16,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2022","2022",24.92,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2022","2022",31.26,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2022","2022",26.74,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2022","2022",35.11,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","CM","altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","W_GE10","10 e più","2022","2022",21.07,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","JC","informatica ed altri servizi d'informazione","W_GE10","10 e più","2022","2022",60.53,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","26","computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi","W_GE10","10 e più","2022","2022",36.8,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","53","servizi postali e attività di corriere","W_GE10","10 e più","2022","2022",26.36,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","55","alloggio","W_GE10","10 e più","2022","2022",29.32,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","56","attività dei servizi di ristorazione","W_GE10","10 e più","2022","2022",19.87,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","58","attività editoriali","W_GE10","10 e più","2022","2022",45.27,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","61","telecomunicazioni","W_GE10","10 e più","2022","2022",61.27,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","68","attività immobiliari","W_GE10","10 e più","2022","2022",32.38,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","79","attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse","W_GE10","10 e più","2022","2022",32.97,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","CD-CG","fabbricazione di coke e di prodotti derivanti dalla raffinazione del petrolio, di prodotti chimici,  di prodotti farmaceutici, di articoli in gomma e materie plastiche e di prodotti della lavorazione di minerali non metalliferi","W_GE10","10 e più","2022","2022",31.38,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","CJ-CK","fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche e di macchinari ed apparecchiature nca","W_GE10","10 e più","2022","2022",29.09,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","JA_X_58","attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore","W_GE10","10 e più","2022","2022",35.02,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","0032","noleggio, agenzie di viaggio, servizi di supporto alle imprese escluso attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse (N escluso 79)","W_GE10","10 e più","2022","2022",35.49,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","0033","settore ict ","W_GE10","10 e più","2022","2022",57.63,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W10_49","10-49","2022","2022",33.87,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W_GE10","10 e più","2022","2022",39.18,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W50_99","50-99","2022","2022",49,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W100_249","100-249","2022","2022",56.92,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","0036","fornitura di energia elettrica, gas, vapore e aria condizionata, acqua, reti fognarie, attività di gestione dei rifiuti e risanamento (d-e)","W_GE250","250 e più","2022","2022",60.01,,
"IT","Italia","E_SECPREV_CY_PERC","nel corso degli ultimi 12 mesi","0049","trasporto e magazzinaggio, esclusi servizi postali e corrieri (h escluso 53)","W_GE10","10 e più","2022","2022",27.19,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","C","attività manifatturiere","W10_49","10-49","2022","2022",11.77,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","C","attività manifatturiere","W_GE10","10 e più","2022","2022",12.85,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","C","attività manifatturiere","W50_99","50-99","2022","2022",21.23,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","C","attività manifatturiere","W100_249","100-249","2022","2022",16.06,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","C","attività manifatturiere","W_GE250","250 e più","2022","2022",14.93,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","F","costruzioni","W10_49","10-49","2022","2022",9.47,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","F","costruzioni","W_GE10","10 e più","2022","2022",9.84,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","F","costruzioni","W50_99","50-99","2022","2022",16.18,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","F","costruzioni","W100_249","100-249","2022","2022",11.55,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","F","costruzioni","W_GE250","250 e più","2022","2022",15.49,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","W_GE10","10 e più","2022","2022",12.3,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","CA","industrie alimentari, delle bevande e del tabacco","W_GE10","10 e più","2022","2022",12.19,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2022","2022",7.27,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2022","2022",10.21,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2022","2022",13,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2022","2022",29.96,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","CM","altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","W_GE10","10 e più","2022","2022",14.56,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","JC","informatica ed altri servizi d'informazione","W_GE10","10 e più","2022","2022",16.11,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","26","computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi","W_GE10","10 e più","2022","2022",28.64,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","53","servizi postali e attività di corriere","W_GE10","10 e più","2022","2022",2.25,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","55","alloggio","W_GE10","10 e più","2022","2022",16.93,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","56","attività dei servizi di ristorazione","W_GE10","10 e più","2022","2022",4.06,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","58","attività editoriali","W_GE10","10 e più","2022","2022",20.05,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","61","telecomunicazioni","W_GE10","10 e più","2022","2022",14.54,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","68","attività immobiliari","W_GE10","10 e più","2022","2022",13.93,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","79","attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse","W_GE10","10 e più","2022","2022",14.89,,
"IT","Italia","E_SECPREV_1_2_PERC","più di 12 mesi e non oltre 24 mesi","CD-CG","fabbricazione di coke e di prodotti derivanti dalla raffinazione del petrolio, di prodotti chimici,  di prodotti farmaceutici, di articoli in gomma e materie plastiche e di prodotti della lavorazione di minerali non metalliferi","W_GE10","10 e più","2022","2022",10.53,,
