"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W10_49","10-49","2019","2019",36.6,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W10_49","10-49","2021","2021",46.43,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W10_49","10-49","2023","2023",47.16,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2019","2019",40.07,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2021","2021",49.49,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W_GE10","10 e più","2023","2023",50.61,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W50_99","50-99","2019","2019",55.73,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W50_99","50-99","2021","2021",61.18,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W50_99","50-99","2023","2023",62,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W100_249","100-249","2019","2019",63.18,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W100_249","100-249","2021","2021",69.63,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W100_249","100-249","2023","2023",76.14,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2019","2019",77.02,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2021","2021",83.36,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","C","attività manifatturiere","W_GE250","250 e più","2023","2023",84.81,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","F","costruzioni","W10_49","10-49","2019","2019",30.85,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","F","costruzioni","W10_49","10-49","2021","2021",40.6,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","F","costruzioni","W10_49","10-49","2023","2023",43.61,,
