"ITTER107","Territorio","TIPO_DATO_CIS","Indicatori","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","FORMA_INNOVAZ","Caratteristiche delle imprese","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2012","2012",65258,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2014","2014",55323,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2016","2016",78289,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2018","2018",82762,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2020","2020",104378,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2012","2012",105320,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2014","2014",69379,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2016","2016",29249,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2018","2018",64022,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2020","2020",8994,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RMACX","spesa per l'acquisizione di macchinari, attrezzature, software, fabbricati finalizzati all'innovazione","2012","2012",50381,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RMACX","spesa per l'acquisizione di macchinari, attrezzature, software, fabbricati finalizzati all'innovazione","2014","2014",9937,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RMACX","spesa per l'acquisizione di macchinari, attrezzature, software, fabbricati finalizzati all'innovazione","2016","2016",11208,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","ROEKX","spesa per l'acquisizione di conoscenza da altre imprese o istituzioni","2012","2012",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","ROEKX","spesa per l'acquisizione di conoscenza da altre imprese o istituzioni","2014","2014",187,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","ROEKX","spesa per l'acquisizione di conoscenza da altre imprese o istituzioni","2016","2016",7531,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RDSGX","spesa per attività di progettazione tecnica ed estetica di nuovi prodotti e servizi (design)","2012","2012",78,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RDSGX","spesa per attività di progettazione tecnica ed estetica di nuovi prodotti e servizi (design)","2014","2014",1412,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","RDSGX","spesa per attività di progettazione tecnica ed estetica di nuovi prodotti e servizi (design)","2016","2016",1445,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","ROTRX","spese per altre attività innovative","2012","2012",6665,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","ROTRX","spese per altre attività innovative","2014","2014",11121,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","B","estrazione di minerali da cave e miniere","W_GE10","10 e più","ROTRX","spese per altre attività innovative","2016","2016",2846,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2012","2012",7008790,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2014","2014",6903150,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2016","2016",9125690,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2018","2018",11363348,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2020","2020",10477168,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2012","2012",1530561,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2014","2014",1245046,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2016","2016",1838372,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2018","2018",3667632,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RRDEXX","spesa per l'acquisizione di servizi di  ricerca e sviluppo (R&Sextra-muros)","2020","2020",1945801,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RMACX","spesa per l'acquisizione di macchinari, attrezzature, software, fabbricati finalizzati all'innovazione","2012","2012",5236030,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RMACX","spesa per l'acquisizione di macchinari, attrezzature, software, fabbricati finalizzati all'innovazione","2014","2014",4888735,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RMACX","spesa per l'acquisizione di macchinari, attrezzature, software, fabbricati finalizzati all'innovazione","2016","2016",5180197,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","ROEKX","spesa per l'acquisizione di conoscenza da altre imprese o istituzioni","2012","2012",254146,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","ROEKX","spesa per l'acquisizione di conoscenza da altre imprese o istituzioni","2014","2014",173528,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","ROEKX","spesa per l'acquisizione di conoscenza da altre imprese o istituzioni","2016","2016",294155,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RDSGX","spesa per attività di progettazione tecnica ed estetica di nuovi prodotti e servizi (design)","2012","2012",1137017,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RDSGX","spesa per attività di progettazione tecnica ed estetica di nuovi prodotti e servizi (design)","2014","2014",1039708,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","RDSGX","spesa per attività di progettazione tecnica ed estetica di nuovi prodotti e servizi (design)","2016","2016",1338704,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","ROTRX","spese per altre attività innovative","2012","2012",920770,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","ROTRX","spese per altre attività innovative","2014","2014",744105,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","C","attività manifatturiere","W_GE10","10 e più","ROTRX","spese per altre attività innovative","2016","2016",977089,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","D","fornitura di energia elettrica, gas, vapore e aria condizionata","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2012","2012",20557,,
"IT","Italia","RALLX","spesa per innovazione  (in migliaia di euro)","D","fornitura di energia elettrica, gas, vapore e aria condizionata","W_GE10","10 e più","RRDINX","spesa per ricerca e sviluppo svolta al proprio interno (R&S intra-muros)","2014","2014",39277,,
